F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F20,Label
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,8.0,4983026.0,3214.0,0.0,18.0,2850.0,391.0,2.0,128.0,786.0,1.0
6.0,768.0,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4982447.0,206.0,218.0,12.0,3397.0,364.0,2.0,128.0,780.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4983028.0,85.0,102.0,17.0,2850.0,392.0,2.0,128.0,785.0,3.0
6.0,768.0,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4982548.0,13.0,26.0,13.0,3400.0,365.0,2.0,128.0,781.0,3.0
10.0,512.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982509.0,277.0,284.0,7.0,3400.0,363.0,1.0,128.0,775.0,3.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,7.0,4982437.0,103.0,120.0,17.0,3401.0,367.0,2.0,128.0,785.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982515.0,55.0,72.0,17.0,29.0,392.0,2.0,128.0,785.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4982548.0,1076.0,1096.0,20.0,3401.0,372.0,2.0,128.0,788.0,3.0
29.0,65535.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982533.0,0.0,0.0,0.0,3401.0,256.0,1.0,256.0,768.0,3.0
6.0,768.0,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,8.0,4982515.0,13.0,26.0,13.0,3397.0,365.0,2.0,128.0,781.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4983014.0,1119.0,1138.0,19.0,3401.0,389.0,2.0,128.0,787.0,3.0
3.0,,256.0,2048.0,3.0,240.0,0.0,240.0,240.0,8.0,4982963.0,270.0,280.0,10.0,29.0,359.0,1.0,128.0,778.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,8.0,4982537.0,162.0,179.0,17.0,29.0,372.0,2.0,128.0,785.0,3.0
30.0,512.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982500.0,29.0,37.0,8.0,1455.0,384.0,1.0,128.0,776.0,3.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,7.0,4983005.0,304.0,0.0,18.0,29.0,391.0,2.0,128.0,786.0,1.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,8.0,4982525.0,1669.0,1686.0,17.0,29.0,372.0,2.0,128.0,785.0,3.0
3.0,,256.0,2048.0,3.0,240.0,0.0,240.0,240.0,8.0,4983000.0,2827.0,2837.0,10.0,2850.0,359.0,1.0,128.0,778.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,7.0,4982546.0,613.0,0.0,21.0,3400.0,374.0,2.0,-12.0,789.0,1.0
7.0,65535.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,8.0,4982494.0,0.0,0.0,0.0,29.0,256.0,1.0,256.0,768.0,1.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4982509.0,71.0,90.0,19.0,1455.0,389.0,2.0,128.0,787.0,3.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,8.0,4982530.0,92.0,0.0,18.0,3400.0,391.0,2.0,128.0,786.0,1.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,7.0,4983021.0,2079.0,2100.0,21.0,3401.0,387.0,2.0,-12.0,789.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,5.0,4982215.0,672.0,0.0,21.0,2911.0,374.0,2.0,-12.0,789.0,1.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,5.0,4982275.0,2646.0,2661.0,15.0,2912.0,383.0,2.0,128.0,783.0,3.0
26.0,768.0,256.0,2048.0,26.0,240.0,0.0,240.0,240.0,8.0,4983025.0,1857.0,1870.0,13.0,29.0,385.0,2.0,128.0,781.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,8.0,4982997.0,662.0,682.0,20.0,2850.0,372.0,2.0,128.0,788.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982901.0,651.0,663.0,12.0,3088.0,368.0,2.0,128.0,780.0,3.0
12.0,768.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,5.0,4982416.0,1330.0,1345.0,15.0,3400.0,373.0,2.0,128.0,783.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,8.0,4983020.0,889.0,910.0,21.0,3401.0,387.0,2.0,-12.0,789.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,7.0,4983017.0,556.0,577.0,21.0,29.0,387.0,2.0,-12.0,789.0,3.0
25.0,65535.0,256.0,2048.0,25.0,240.0,0.0,240.0,240.0,8.0,4983022.0,0.0,0.0,0.0,29.0,256.0,1.0,256.0,768.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,5.0,4982431.0,757.0,777.0,20.0,3400.0,372.0,2.0,128.0,788.0,3.0
21.0,768.0,256.0,2048.0,21.0,240.0,0.0,240.0,240.0,8.0,4982959.0,462.0,475.0,13.0,29.0,380.0,2.0,128.0,781.0,3.0
12.0,768.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,8.0,4982937.0,438.0,453.0,15.0,3400.0,373.0,2.0,128.0,783.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,7.0,4983029.0,1236.0,1258.0,22.0,3400.0,383.0,2.0,-12.0,790.0,3.0
21.0,768.0,256.0,2048.0,21.0,240.0,0.0,240.0,240.0,8.0,4983022.0,3773.0,3786.0,13.0,29.0,380.0,2.0,128.0,781.0,3.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,6.0,4982249.0,345.0,360.0,15.0,1142.0,383.0,2.0,128.0,783.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982454.0,2767.0,2789.0,22.0,29.0,383.0,2.0,-12.0,790.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4983032.0,5672.0,5692.0,20.0,304.0,372.0,2.0,128.0,788.0,3.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,6.0,4982280.0,3870.0,3885.0,15.0,2908.0,383.0,2.0,128.0,783.0,3.0
17.0,257.0,256.0,2048.0,17.0,240.0,0.0,240.0,240.0,8.0,4982530.0,121.0,0.0,19.0,29.0,382.0,2.0,128.0,787.0,1.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,8.0,4982974.0,1754.0,1771.0,17.0,3404.0,367.0,2.0,128.0,785.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,8.0,4982453.0,2494.0,2514.0,20.0,29.0,372.0,2.0,128.0,788.0,3.0
18.0,65535.0,256.0,2048.0,18.0,240.0,0.0,240.0,240.0,7.0,4982451.0,0.0,0.0,0.0,3397.0,256.0,1.0,256.0,768.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982540.0,961.0,973.0,12.0,29.0,368.0,2.0,128.0,780.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982968.0,17.0,34.0,17.0,3404.0,392.0,2.0,128.0,785.0,3.0
4.0,512.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,8.0,4982483.0,672.0,673.0,1.0,29.0,351.0,1.0,128.0,769.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,8.0,4982968.0,107.0,0.0,21.0,29.0,374.0,2.0,-12.0,789.0,1.0
17.0,257.0,256.0,2048.0,17.0,240.0,0.0,240.0,240.0,5.0,4982228.0,2377.0,0.0,19.0,2856.0,382.0,2.0,128.0,787.0,1.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4983030.0,3216.0,3233.0,17.0,29.0,392.0,2.0,128.0,785.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,5.0,4982151.0,1509.0,1530.0,21.0,3400.0,387.0,2.0,-12.0,789.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,7.0,4983002.0,102.0,124.0,22.0,3400.0,383.0,2.0,-12.0,790.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,5.0,4982228.0,2325.0,2337.0,12.0,2852.0,368.0,2.0,128.0,780.0,3.0
23.0,768.0,256.0,2048.0,23.0,240.0,0.0,240.0,240.0,8.0,4982490.0,386.0,398.0,12.0,1105.0,381.0,2.0,128.0,780.0,3.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,5.0,4982270.0,1223.0,0.0,18.0,2850.0,391.0,2.0,128.0,786.0,1.0
10.0,65535.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,7.0,4982939.0,0.0,0.0,0.0,3408.0,256.0,1.0,256.0,768.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,7.0,4982476.0,271.0,285.0,14.0,3401.0,390.0,2.0,128.0,782.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,5.0,4982353.0,2413.0,2432.0,19.0,29.0,389.0,2.0,128.0,787.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4983012.0,2660.0,2682.0,22.0,3397.0,383.0,2.0,-12.0,790.0,3.0
