Dataset,Phase,Fold,SVM_Accuracy,SVM_Accuracy_Std,SVM_F1,SVM_F1_Std,SVM_Params,kNN_Accuracy,kNN_Accuracy_Std,kNN_F1,kNN_F1_Std,kNN_Params,Decision Tree_Accuracy,Decision Tree_Accuracy_Std,Decision Tree_F1,Decision Tree_F1_Std,Decision Tree_Params,Random Forest_Accuracy,Random Forest_Accuracy_Std,Random Forest_F1,Random Forest_F1_Std,Random Forest_Params,MLP_Accuracy,MLP_Accuracy_Std,MLP_F1,MLP_F1_Std,MLP_Params
Dataset3,Phase2_ReliefF,Fold 7,0.845511,0.001074,0.238612,0.009659,{'classifier__estimator__C': 1},0.882046,0.007565,0.535734,0.020478,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.887265,0.009658,0.560695,0.03411,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.888309,0.004958,0.522431,0.016863,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.851775,0.015256,0.304579,0.087703,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase2_ReliefF,Fold 8,0.844468,0.001005,0.229178,0.009285,{'classifier__estimator__C': 1},0.887265,0.007216,0.559486,0.01935,"{'classifier__n_neighbors': 21, 'classifier__weights': 'distance'}",0.887265,0.009129,0.575453,0.032425,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.891441,0.005291,0.576013,0.018222,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.847599,0.014736,0.304904,0.082944,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase2_ReliefF,Fold 9,0.846555,0.001142,0.247243,0.009583,{'classifier__estimator__C': 1},0.876827,0.007122,0.544622,0.0184,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.872651,0.009291,0.529247,0.032079,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.879958,0.005207,0.540458,0.01755,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.872651,0.014705,0.433572,0.083856,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase2_ReliefF,Fold 10,0.844468,0.001087,0.245802,0.009535,{'classifier__estimator__C': 10},0.888309,0.006957,0.586318,0.020358,"{'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.889353,0.009048,0.59474,0.032498,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.894572,0.005842,0.59972,0.022233,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.866388,0.014125,0.435363,0.083764,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset4,Phase1_Baseline,Fold 1,0.860271,0.0,0.289071,0.0,{'classifier__estimator__C': 10},0.870699,0.0,0.514614,0.0,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.863399,0.0,0.464504,0.0,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.866528,0.0,0.511633,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.866528,0.0,0.406677,0.0,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset4,Phase1_Baseline,Fold 2,0.849844,0.005214,0.270235,0.009418,{'classifier__estimator__C': 1},0.866528,0.002086,0.501408,0.006603,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.872784,0.004692,0.528451,0.031974,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.870699,0.002086,0.51927,0.003819,"{'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.854015,0.006257,0.244485,0.081096,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset4,Phase1_Baseline,Fold 3,0.855057,0.004257,0.295505,0.010723,{'classifier__estimator__C': 1},0.864442,0.002601,0.481161,0.013757,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.866528,0.003902,0.526769,0.029757,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.868613,0.001703,0.516887,0.00319,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.866528,0.005899,0.41429,0.078314,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase1_Baseline,Fold 4,0.853862,0.003723,0.267136,0.012068,{'classifier__estimator__C': 10},0.859081,0.004184,0.50011,0.011923,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.850731,0.008037,0.489164,0.02685,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.870564,0.001699,0.518153,0.002926,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.866388,0.005398,0.409549,0.071796,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase1_Baseline,Fold 5,0.854906,0.00333,0.283745,0.010873,{'classifier__estimator__C': 10},0.858038,0.00471,0.511386,0.011705,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.870564,0.007744,0.528268,0.026178,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5}",0.864301,0.002449,0.520298,0.003029,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.85595,0.005667,0.378009,0.064323,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset4,Phase1_Baseline,Fold 6,0.85595,0.003071,0.282351,0.009936,{'classifier__estimator__C': 1},0.859081,0.004639,0.454683,0.020534,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.850731,0.008802,0.456397,0.030542,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.866388,0.002329,0.476331,0.015498,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.845511,0.007999,0.336715,0.060061,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase1_Baseline,Fold 7,0.848643,0.003606,0.271955,0.009767,{'classifier__estimator__C': 1},0.858038,0.00463,0.45145,0.024125,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.865344,0.008211,0.472255,0.029776,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5}",0.872651,0.002734,0.483799,0.017108,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.844468,0.009014,0.317191,0.058064,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase1_Baseline,Fold 8,0.851775,0.003458,0.274681,0.009304,{'classifier__estimator__C': 1},0.870564,0.005126,0.517076,0.024552,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.86952,0.00799,0.463895,0.029706,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.870564,0.002644,0.49939,0.016181,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.854906,0.008461,0.404052,0.056397,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset4,Phase1_Baseline,Fold 9,0.848643,0.003639,0.254844,0.01167,{'classifier__estimator__C': 1},0.861169,0.004879,0.475262,0.023703,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.86952,0.007752,0.510036,0.028625,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.865344,0.002717,0.500576,0.015341,"{'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.871608,0.009238,0.401747,0.054488,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase1_Baseline,Fold 10,0.848643,0.003715,0.281021,0.01115,{'classifier__estimator__C': 1},0.856994,0.004975,0.47281,0.023049,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.856994,0.007678,0.50846,0.027534,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.865344,0.002737,0.506159,0.014557,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.856994,0.008774,0.384478,0.051925,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase2_ReliefF,Fold 1,0.854015,0.0,0.237695,0.0,{'classifier__estimator__C': 1},0.872784,0.0,0.516556,0.0,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.871741,0.0,0.52165,0.0,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.87487,0.0,0.553109,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.851929,0.0,0.289869,0.0,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset4,Phase2_ReliefF,Fold 2,0.859228,0.002607,0.286149,0.024227,{'classifier__estimator__C': 1},0.861314,0.005735,0.517463,0.000454,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.861314,0.005214,0.533992,0.006171,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.850886,0.011992,0.458428,0.047341,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.855057,0.001564,0.319363,0.014747,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
